match_date,batting_team,bowling_team,venue,runs,wickets,overs,striker_runs,non_striker_runs,last_five_overs_runs,final_score
2023-05-17,Kolkata Knight Riders,Punjab Kings,Rajiv Gandhi International Cricket Stadium,49,2,6.0,23,11,43,197
2023-05-05,Royal Challengers Bangalore,Kolkata Knight Riders,Rajiv Gandhi International Cricket Stadium,101,6,14.6,40,42,37,140
2023-05-07,Lucknow Super Giants,Punjab Kings,Punjab Cricket Association Stadium,64,5,11.4,35,20,24,110
2023-04-21,Chennai Super Kings,Kolkata Knight Riders,M. Chinnaswamy Stadium,59,1,8.3,30,22,42,175
2023-05-15,Rajasthan Royals,Sunrisers Hyderabad,Rajiv Gandhi International Cricket Stadium,84,0,8.5,46,27,45,218
2023-05-05,Kolkata Knight Riders,Chennai Super Kings,Punjab Cricket Association Stadium,57,3,6.9,31,14,52,196
2023-05-23,Gujarat Titans,Sunrisers Hyderabad,Eden Gardens,94,7,15.8,39,42,35,123
2023-05-15,Delhi Capitals,Kolkata Knight Riders,M. Chinnaswamy Stadium,58,4,9.9,20,24,26,111
2023-04-03,Kolkata Knight Riders,Rajasthan Royals,Rajiv Gandhi International Cricket Stadium,110,9,18.1,55,41,31,123
2023-05-27,Rajasthan Royals,Gujarat Titans,Sawai Mansingh Stadium,110,3,16.6,45,42,37,150
2023-05-28,Royal Challengers Bangalore,Gujarat Titans,Wankhede Stadium,110,9,18.2,40,50,31,121
2023-04-20,Punjab Kings,Rajasthan Royals,M. Chinnaswamy Stadium,90,6,15.9,35,27,36,123
2023-05-11,Mumbai Indians,Lucknow Super Giants,Arun Jaitley Stadium,65,0,7.9,22,29,52,187
2023-05-08,Lucknow Super Giants,Chennai Super Kings,Eden Gardens,165,1,19.0,90,44,43,176
2023-05-23,Kolkata Knight Riders,Chennai Super Kings,M. Chinnaswamy Stadium,166,1,17.3,65,51,54,201
2023-04-26,Sunrisers Hyderabad,Chennai Super Kings,Rajiv Gandhi International Cricket Stadium,114,7,18.9,66,29,28,121
2023-04-27,Lucknow Super Giants,Delhi Capitals,Narendra Modi Stadium,125,1,17.3,60,45,41,154
2023-05-01,Kolkata Knight Riders,Punjab Kings,M. Chinnaswamy Stadium,73,4,9.9,35,16,31,151
2023-05-14,Sunrisers Hyderabad,Lucknow Super Giants,Punjab Cricket Association Stadium,118,1,16.5,52,35,35,153
2023-05-05,Punjab Kings,Lucknow Super Giants,Punjab Cricket Association Stadium,67,2,8.9,31,19,48,174
2023-04-17,Lucknow Super Giants,Gujarat Titans,Dr. DY Patil Sports Academy,79,0,9.1,29,31,50,177
2023-04-18,Royal Challengers Bangalore,Sunrisers Hyderabad,M. A. Chidambaram Stadium,117,4,17.7,35,50,42,140
2023-04-04,Lucknow Super Giants,Mumbai Indians,Eden Gardens,44,2,7.2,18,16,33,146
2023-05-28,Sunrisers Hyderabad,Delhi Capitals,Dr. DY Patil Sports Academy,119,4,19.4,45,60,36,123
2023-04-15,Royal Challengers Bangalore,Gujarat Titans,M. A. Chidambaram Stadium,52,3,7.3,18,20,41,169
2023-05-29,Delhi Capitals,Kolkata Knight Riders,Rajiv Gandhi International Cricket Stadium,59,1,6.7,21,29,39,183
2023-04-18,Sunrisers Hyderabad,Chennai Super Kings,Punjab Cricket Association Stadium,98,6,15.0,33,45,26,130
2023-04-05,Kolkata Knight Riders,Mumbai Indians,M. Chinnaswamy Stadium,92,6,13.4,51,24,30,139
2023-04-05,Sunrisers Hyderabad,Punjab Kings,Rajiv Gandhi International Cricket Stadium,86,0,9.8,35,37,56,211
2023-04-20,Delhi Capitals,Punjab Kings,M. A. Chidambaram Stadium,126,6,19.1,58,29,34,133
2023-05-01,Sunrisers Hyderabad,Mumbai Indians,Arun Jaitley Stadium,75,1,8.9,27,35,54,184
2023-05-05,Mumbai Indians,Gujarat Titans,Rajiv Gandhi International Cricket Stadium,51,0,6.4,24,19,46,198
2023-04-30,Kolkata Knight Riders,Sunrisers Hyderabad,Sawai Mansingh Stadium,64,1,7.1,36,19,42,204
2023-05-02,Delhi Capitals,Mumbai Indians,M. Chinnaswamy Stadium,105,7,15.5,41,41,40,151
2023-05-14,Kolkata Knight Riders,Rajasthan Royals,Arun Jaitley Stadium,90,6,17.4,48,26,25,108
2023-05-01,Mumbai Indians,Royal Challengers Bangalore,Sawai Mansingh Stadium,148,5,19.0,65,51,40,159
2023-04-09,Chennai Super Kings,Sunrisers Hyderabad,M. Chinnaswamy Stadium,86,3,9.9,49,25,43,176
2023-05-25,Gujarat Titans,Mumbai Indians,Dr. DY Patil Sports Academy,53,2,6.0,17,23,50,224
2023-05-27,Mumbai Indians,Lucknow Super Giants,Narendra Modi Stadium,109,4,16.5,42,38,37,138
2023-04-24,Lucknow Super Giants,Kolkata Knight Riders,Punjab Cricket Association Stadium,127,2,18.2,60,40,43,145
2023-04-04,Sunrisers Hyderabad,Punjab Kings,Dr. DY Patil Sports Academy,68,3,9.3,36,15,45,151
2023-04-18,Delhi Capitals,Mumbai Indians,Rajiv Gandhi International Cricket Stadium,69,4,9.0,41,20,45,187
2023-04-14,Lucknow Super Giants,Punjab Kings,Arun Jaitley Stadium,99,4,14.2,53,28,39,155
2023-04-28,Mumbai Indians,Punjab Kings,Eden Gardens,46,2,6.3,21,12,45,162
2023-04-10,Delhi Capitals,Sunrisers Hyderabad,M. Chinnaswamy Stadium,114,5,15.8,51,30,33,151
2023-05-24,Gujarat Titans,Punjab Kings,M. A. Chidambaram Stadium,112,0,16.5,54,32,31,143
2023-05-13,Kolkata Knight Riders,Sunrisers Hyderabad,Wankhede Stadium,102,5,14.0,47,25,45,150
2023-05-30,Mumbai Indians,Delhi Capitals,Punjab Cricket Association Stadium,57,1,6.7,27,17,50,219
2023-04-09,Rajasthan Royals,Chennai Super Kings,Punjab Cricket Association Stadium,86,2,13.9,46,21,38,137
2023-05-11,Punjab Kings,Mumbai Indians,Rajiv Gandhi International Cricket Stadium,94,0,9.0,31,36,58,242
2023-04-08,Lucknow Super Giants,Kolkata Knight Riders,M. A. Chidambaram Stadium,81,8,17.0,35,35,20,95
2023-04-09,Royal Challengers Bangalore,Gujarat Titans,M. Chinnaswamy Stadium,140,1,16.6,62,35,38,170
2023-05-17,Rajasthan Royals,Gujarat Titans,M. A. Chidambaram Stadium,84,7,15.8,36,31,24,112
2023-05-12,Gujarat Titans,Delhi Capitals,Punjab Cricket Association Stadium,101,0,14.3,47,31,37,154
2023-05-08,Royal Challengers Bangalore,Chennai Super Kings,Eden Gardens,61,4,9.0,30,24,35,147
2023-05-24,Gujarat Titans,Kolkata Knight Riders,Rajiv Gandhi International Cricket Stadium,93,1,11.5,44,27,38,173
2023-05-13,Sunrisers Hyderabad,Chennai Super Kings,M. A. Chidambaram Stadium,132,1,17.1,44,57,32,166
2023-04-26,Punjab Kings,Rajasthan Royals,Wankhede Stadium,109,9,19.0,38,48,30,116
2023-04-07,Delhi Capitals,Kolkata Knight Riders,Rajiv Gandhi International Cricket Stadium,92,8,17.3,38,41,23,106
2023-03-31,Royal Challengers Bangalore,Lucknow Super Giants,Dr. DY Patil Sports Academy,111,1,14.5,48,29,34,156
2023-05-16,Punjab Kings,Chennai Super Kings,Wankhede Stadium,68,0,7.3,30,25,48,213
2023-04-27,Chennai Super Kings,Delhi Capitals,Dr. DY Patil Sports Academy,69,5,12.1,25,36,25,126
2023-04-18,Punjab Kings,Chennai Super Kings,Wankhede Stadium,87,3,12.2,40,32,43,164
2023-04-02,Rajasthan Royals,Mumbai Indians,Punjab Cricket Association Stadium,118,5,18.4,52,47,27,128
2023-05-09,Sunrisers Hyderabad,Punjab Kings,M. A. Chidambaram Stadium,84,0,11.3,35,32,35,152
2023-05-02,Chennai Super Kings,Gujarat Titans,Sawai Mansingh Stadium,62,2,7.8,22,28,34,144
2023-05-18,Chennai Super Kings,Royal Challengers Bangalore,Punjab Cricket Association Stadium,85,4,11.7,42,32,40,174
2023-04-09,Sunrisers Hyderabad,Chennai Super Kings,Punjab Cricket Association Stadium,93,2,11.4,30,41,42,177
2023-05-11,Chennai Super Kings,Gujarat Titans,Rajiv Gandhi International Cricket Stadium,94,4,11.7,44,21,44,179
2023-04-03,Sunrisers Hyderabad,Chennai Super Kings,Narendra Modi Stadium,140,1,19.2,55,49,37,148
2023-04-18,Rajasthan Royals,Lucknow Super Giants,Narendra Modi Stadium,136,0,14.8,41,55,52,210
2023-05-28,Lucknow Super Giants,Royal Challengers Bangalore,Narendra Modi Stadium,52,1,6.2,25,17,36,172
2023-05-11,Punjab Kings,Royal Challengers Bangalore,Sawai Mansingh Stadium,43,3,6.4,22,10,32,142
2023-04-09,Chennai Super Kings,Delhi Capitals,M. A. Chidambaram Stadium,97,4,12.4,34,34,46,162
2023-05-23,Lucknow Super Giants,Royal Challengers Bangalore,Punjab Cricket Association Stadium,43,1,5.6,16,17,43,181
2023-05-21,Sunrisers Hyderabad,Kolkata Knight Riders,Narendra Modi Stadium,80,7,14.8,34,27,35,114
2023-04-16,Mumbai Indians,Sunrisers Hyderabad,Narendra Modi Stadium,121,0,13.0,37,50,40,204
2023-04-05,Kolkata Knight Riders,Sunrisers Hyderabad,Narendra Modi Stadium,96,6,18.5,50,21,25,105
2023-05-11,Punjab Kings,Royal Challengers Bangalore,Eden Gardens,45,1,5.6,20,17,32,158
2023-05-05,Lucknow Super Giants,Gujarat Titans,Rajiv Gandhi International Cricket Stadium,41,2,6.6,18,12,35,143
2023-05-04,Mumbai Indians,Gujarat Titans,Dr. DY Patil Sports Academy,59,1,8.5,25,19,31,144
2023-05-03,Gujarat Titans,Lucknow Super Giants,Sawai Mansingh Stadium,92,3,13.0,36,34,41,148
2023-05-12,Chennai Super Kings,Punjab Kings,Eden Gardens,42,2,5.6,22,14,42,159
2023-05-15,Sunrisers Hyderabad,Mumbai Indians,M. Chinnaswamy Stadium,71,1,7.9,28,25,54,203
2023-04-18,Punjab Kings,Mumbai Indians,Narendra Modi Stadium,68,2,9.0,36,16,36,147
2023-05-21,Gujarat Titans,Delhi Capitals,M. A. Chidambaram Stadium,125,1,15.5,44,47,34,168
2023-05-15,Rajasthan Royals,Royal Challengers Bangalore,Punjab Cricket Association Stadium,96,0,10.1,41,37,53,233
2023-04-25,Punjab Kings,Gujarat Titans,Eden Gardens,168,2,18.8,57,74,41,182
2023-04-02,Lucknow Super Giants,Royal Challengers Bangalore,Punjab Cricket Association Stadium,104,5,18.8,38,37,26,111
2023-04-11,Sunrisers Hyderabad,Gujarat Titans,Rajiv Gandhi International Cricket Stadium,126,1,18.2,69,29,32,142
2023-05-24,Chennai Super Kings,Sunrisers Hyderabad,Eden Gardens,131,7,18.0,81,35,41,150
2023-04-19,Royal Challengers Bangalore,Lucknow Super Giants,Narendra Modi Stadium,130,0,12.4,53,43,51,237
2023-04-08,Lucknow Super Giants,Chennai Super Kings,M. A. Chidambaram Stadium,68,3,9.5,24,33,46,163
2023-04-22,Royal Challengers Bangalore,Gujarat Titans,Dr. DY Patil Sports Academy,67,1,7.6,20,26,38,174
2023-04-22,Gujarat Titans,Delhi Capitals,M. A. Chidambaram Stadium,52,4,8.6,18,24,33,129
2023-05-09,Lucknow Super Giants,Punjab Kings,Dr. DY Patil Sports Academy,43,0,5.6,17,19,35,157
2023-05-26,Gujarat Titans,Delhi Capitals,M. Chinnaswamy Stadium,80,6,12.0,38,24,29,130
2023-04-09,Punjab Kings,Lucknow Super Giants,Narendra Modi Stadium,162,2,19.1,55,61,36,169
2023-05-30,Rajasthan Royals,Lucknow Super Giants,Arun Jaitley Stadium,162,2,19.0,62,74,37,174
2023-05-01,Mumbai Indians,Chennai Super Kings,Rajiv Gandhi International Cricket Stadium,91,1,12.3,35,29,45,175
2023-05-24,Chennai Super Kings,Rajasthan Royals,Eden Gardens,119,5,17.8,53,39,30,134
2023-05-18,Gujarat Titans,Delhi Capitals,Dr. DY Patil Sports Academy,95,1,14.9,51,22,34,138
2023-04-25,Gujarat Titans,Mumbai Indians,Wankhede Stadium,42,2,5.6,19,13,40,167
2023-05-09,Delhi Capitals,Punjab Kings,Sawai Mansingh Stadium,99,8,17.0,31,46,28,114
2023-05-27,Mumbai Indians,Sunrisers Hyderabad,M. Chinnaswamy Stadium,133,9,19.0,49,59,39,141
2023-05-13,Kolkata Knight Riders,Mumbai Indians,Dr. DY Patil Sports Academy,136,1,18.7,55,50,32,148
2023-05-24,Mumbai Indians,Royal Challengers Bangalore,Sawai Mansingh Stadium,71,2,8.0,37,17,46,210
2023-05-25,Delhi Capitals,Sunrisers Hyderabad,Arun Jaitley Stadium,115,4,18.9,50,52,28,122
2023-04-22,Gujarat Titans,Delhi Capitals,M. Chinnaswamy Stadium,56,3,6.8,27,15,36,150
2023-05-29,Sunrisers Hyderabad,Delhi Capitals,Punjab Cricket Association Stadium,50,4,8.1,16,21,36,131
2023-04-14,Kolkata Knight Riders,Mumbai Indians,M. A. Chidambaram Stadium,69,5,11.0,34,15,40,144
2023-04-30,Sunrisers Hyderabad,Kolkata Knight Riders,M. Chinnaswamy Stadium,88,0,9.7,40,31,53,222
2023-05-26,Royal Challengers Bangalore,Mumbai Indians,Rajiv Gandhi International Cricket Stadium,158,2,16.4,92,47,38,202
2023-04-18,Sunrisers Hyderabad,Gujarat Titans,Sawai Mansingh Stadium,105,1,12.2,33,43,37,174
2023-05-17,Punjab Kings,Delhi Capitals,Dr. DY Patil Sports Academy,106,3,14.8,60,32,38,151
2023-04-08,Sunrisers Hyderabad,Punjab Kings,Arun Jaitley Stadium,37,1,5.1,16,16,37,171
2023-04-03,Chennai Super Kings,Sunrisers Hyderabad,M. Chinnaswamy Stadium,65,2,7.3,29,28,40,191
2023-05-08,Punjab Kings,Rajasthan Royals,Sawai Mansingh Stadium,128,8,18.2,65,43,38,145
2023-04-23,Chennai Super Kings,Lucknow Super Giants,Wankhede Stadium,101,8,17.0,48,25,30,125
2023-05-27,Gujarat Titans,Sunrisers Hyderabad,Wankhede Stadium,82,4,11.6,40,26,33,130
2023-04-13,Lucknow Super Giants,Chennai Super Kings,Wankhede Stadium,71,5,11.1,26,36,41,139
2023-05-19,Rajasthan Royals,Punjab Kings,Rajiv Gandhi International Cricket Stadium,80,3,11.5,37,29,39,153
2023-05-03,Royal Challengers Bangalore,Kolkata Knight Riders,Wankhede Stadium,125,4,16.0,50,47,35,156
2023-05-26,Chennai Super Kings,Mumbai Indians,Rajiv Gandhi International Cricket Stadium,100,0,13.9,43,38,40,159
2023-04-28,Kolkata Knight Riders,Gujarat Titans,Arun Jaitley Stadium,128,0,15.9,64,31,43,191
2023-04-15,Delhi Capitals,Royal Challengers Bangalore,Sawai Mansingh Stadium,57,2,8.2,28,17,31,136
2023-04-22,Rajasthan Royals,Gujarat Titans,Narendra Modi Stadium,76,6,15.1,35,29,30,112
2023-05-28,Mumbai Indians,Gujarat Titans,Rajiv Gandhi International Cricket Stadium,114,8,19.0,42,42,25,119
2023-05-23,Kolkata Knight Riders,Mumbai Indians,M. Chinnaswamy Stadium,85,4,10.5,39,23,47,194
2023-04-21,Delhi Capitals,Mumbai Indians,Arun Jaitley Stadium,159,1,18.6,85,54,49,175
2023-04-18,Rajasthan Royals,Sunrisers Hyderabad,Sawai Mansingh Stadium,88,4,14.4,30,40,39,140
2023-04-23,Punjab Kings,Rajasthan Royals,Wankhede Stadium,113,1,13.2,52,38,50,184
2023-05-06,Kolkata Knight Riders,Sunrisers Hyderabad,Sawai Mansingh Stadium,91,5,14.5,48,33,33,132
2023-05-16,Gujarat Titans,Sunrisers Hyderabad,Eden Gardens,132,8,18.3,69,36,30,142
2023-04-08,Kolkata Knight Riders,Chennai Super Kings,Eden Gardens,35,2,5.1,19,9,35,156
2023-04-26,Mumbai Indians,Lucknow Super Giants,Sawai Mansingh Stadium,99,4,15.5,53,29,40,131
2023-04-12,Lucknow Super Giants,Gujarat Titans,M. Chinnaswamy Stadium,119,4,16.8,57,49,32,147
2023-04-05,Mumbai Indians,Chennai Super Kings,Rajiv Gandhi International Cricket Stadium,74,4,10.5,26,35,43,169
2023-04-06,Gujarat Titans,Mumbai Indians,Arun Jaitley Stadium,46,4,8.1,22,10,35,126
2023-04-20,Mumbai Indians,Kolkata Knight Riders,Dr. DY Patil Sports Academy,56,3,7.1,25,19,49,182
2023-05-17,Royal Challengers Bangalore,Chennai Super Kings,Sawai Mansingh Stadium,89,5,15.8,38,38,33,125
2023-04-01,Delhi Capitals,Sunrisers Hyderabad,Punjab Cricket Association Stadium,61,4,8.3,30,20,31,153
2023-04-05,Delhi Capitals,Royal Challengers Bangalore,Rajiv Gandhi International Cricket Stadium,117,2,15.3,33,50,36,155
2023-04-11,Rajasthan Royals,Sunrisers Hyderabad,Sawai Mansingh Stadium,73,3,13.0,34,24,33,123
2023-05-19,Chennai Super Kings,Gujarat Titans,Arun Jaitley Stadium,102,1,13.3,36,39,33,153
2023-05-20,Chennai Super Kings,Punjab Kings,M. Chinnaswamy Stadium,116,7,18.7,41,42,39,127
2023-04-21,Sunrisers Hyderabad,Punjab Kings,Rajiv Gandhi International Cricket Stadium,119,2,16.8,54,45,31,147
2023-05-10,Sunrisers Hyderabad,Kolkata Knight Riders,Narendra Modi Stadium,76,3,10.5,39,16,32,152
2023-05-30,Kolkata Knight Riders,Sunrisers Hyderabad,M. Chinnaswamy Stadium,172,1,17.1,73,60,56,220
2023-05-20,Rajasthan Royals,Chennai Super Kings,Punjab Cricket Association Stadium,115,7,19.4,67,34,30,119
2023-05-21,Gujarat Titans,Chennai Super Kings,M. A. Chidambaram Stadium,87,5,16.1,41,28,30,119
2023-04-06,Mumbai Indians,Chennai Super Kings,M. Chinnaswamy Stadium,65,4,8.2,24,23,41,173
2023-04-01,Sunrisers Hyderabad,Chennai Super Kings,M. Chinnaswamy Stadium,95,0,11.0,34,35,44,204
2023-04-28,Sunrisers Hyderabad,Punjab Kings,M. A. Chidambaram Stadium,61,0,9.4,28,15,41,157
2023-04-21,Gujarat Titans,Rajasthan Royals,Punjab Cricket Association Stadium,57,3,8.4,24,22,39,156
2023-03-31,Kolkata Knight Riders,Lucknow Super Giants,M. Chinnaswamy Stadium,151,1,15.9,62,59,42,199
2023-05-10,Punjab Kings,Rajasthan Royals,Dr. DY Patil Sports Academy,95,0,10.7,50,27,51,206
2023-04-08,Punjab Kings,Chennai Super Kings,Arun Jaitley Stadium,67,1,9.4,30,21,38,163
2023-05-28,Royal Challengers Bangalore,Gujarat Titans,Eden Gardens,97,1,12.1,52,27,51,180
2023-05-05,Gujarat Titans,Sunrisers Hyderabad,Rajiv Gandhi International Cricket Stadium,90,6,14.9,37,28,36,120
2023-04-18,Royal Challengers Bangalore,Sunrisers Hyderabad,Dr. DY Patil Sports Academy,90,7,15.8,41,23,34,120
2023-05-16,Sunrisers Hyderabad,Gujarat Titans,Arun Jaitley Stadium,162,1,19.4,80,40,34,168
2023-05-25,Chennai Super Kings,Kolkata Knight Riders,Arun Jaitley Stadium,117,5,16.8,53,38,41,153
2023-05-04,Delhi Capitals,Gujarat Titans,Eden Gardens,64,2,9.7,38,16,37,153
2023-05-28,Mumbai Indians,Delhi Capitals,Eden Gardens,115,2,15.2,62,36,43,170
2023-04-26,Rajasthan Royals,Sunrisers Hyderabad,M. A. Chidambaram Stadium,109,1,14.2,60,30,39,179
2023-05-24,Chennai Super Kings,Sunrisers Hyderabad,Narendra Modi Stadium,109,8,17.3,51,42,30,124
2023-05-24,Sunrisers Hyderabad,Punjab Kings,Wankhede Stadium,49,2,5.7,23,12,44,189
2023-05-14,Royal Challengers Bangalore,Delhi Capitals,Eden Gardens,106,4,17.7,45,30,33,125
2023-05-18,Kolkata Knight Riders,Rajasthan Royals,M. A. Chidambaram Stadium,104,0,15.2,47,37,35,148
2023-05-25,Rajasthan Royals,Royal Challengers Bangalore,Punjab Cricket Association Stadium,39,3,6.0,14,13,30,137
2023-05-11,Royal Challengers Bangalore,Chennai Super Kings,Sawai Mansingh Stadium,95,4,13.2,47,33,31,152
2023-04-05,Chennai Super Kings,Royal Challengers Bangalore,M. A. Chidambaram Stadium,89,3,13.5,36,40,37,148
2023-04-18,Mumbai Indians,Delhi Capitals,Arun Jaitley Stadium,75,4,12.5,39,22,35,126
2023-05-10,Lucknow Super Giants,Chennai Super Kings,Sawai Mansingh Stadium,184,0,17.9,87,45,55,222
2023-05-19,Chennai Super Kings,Mumbai Indians,Dr. DY Patil Sports Academy,45,2,6.0,20,19,36,162
2023-04-25,Chennai Super Kings,Gujarat Titans,Sawai Mansingh Stadium,86,2,13.9,52,23,27,130
2023-05-11,Chennai Super Kings,Delhi Capitals,Rajiv Gandhi International Cricket Stadium,90,3,15.6,37,32,32,131
2023-04-07,Mumbai Indians,Royal Challengers Bangalore,Wankhede Stadium,66,2,7.4,25,30,39,193
2023-05-19,Mumbai Indians,Punjab Kings,Rajiv Gandhi International Cricket Stadium,79,0,8.9,35,29,47,198
2023-04-10,Delhi Capitals,Chennai Super Kings,Dr. DY Patil Sports Academy,106,1,14.8,49,25,33,145
2023-05-29,Mumbai Indians,Gujarat Titans,Rajiv Gandhi International Cricket Stadium,70,1,8.3,22,30,41,173
2023-05-21,Gujarat Titans,Mumbai Indians,Rajiv Gandhi International Cricket Stadium,49,3,6.0,15,21,42,186
2023-05-17,Lucknow Super Giants,Kolkata Knight Riders,Punjab Cricket Association Stadium,87,3,10.3,41,32,51,190
2023-05-04,Punjab Kings,Mumbai Indians,Narendra Modi Stadium,39,2,5.0,13,15,39,179
2023-04-09,Delhi Capitals,Chennai Super Kings,Wankhede Stadium,121,8,18.4,59,35,35,134
2023-05-07,Lucknow Super Giants,Mumbai Indians,Rajiv Gandhi International Cricket Stadium,94,2,14.6,45,25,37,140
2023-04-04,Kolkata Knight Riders,Royal Challengers Bangalore,Dr. DY Patil Sports Academy,50,0,6.6,21,17,49,168
2023-04-07,Chennai Super Kings,Royal Challengers Bangalore,M. Chinnaswamy Stadium,155,0,17.0,69,43,58,192
2023-05-22,Royal Challengers Bangalore,Mumbai Indians,Rajiv Gandhi International Cricket Stadium,108,8,17.4,54,30,27,125
2023-04-08,Kolkata Knight Riders,Rajasthan Royals,Narendra Modi Stadium,118,1,15.0,41,60,32,169
2023-05-27,Punjab Kings,Chennai Super Kings,Wankhede Stadium,163,0,18.7,73,67,35,176
2023-04-11,Delhi Capitals,Lucknow Super Giants,Punjab Cricket Association Stadium,155,0,17.8,70,57,54,182
2023-04-26,Kolkata Knight Riders,Gujarat Titans,Arun Jaitley Stadium,141,0,14.1,61,47,52,233
2023-04-11,Mumbai Indians,Punjab Kings,Dr. DY Patil Sports Academy,61,2,8.2,30,18,49,176
2023-04-17,Gujarat Titans,Mumbai Indians,Arun Jaitley Stadium,77,6,13.3,31,37,26,115
2023-05-07,Mumbai Indians,Punjab Kings,Dr. DY Patil Sports Academy,111,4,13.2,66,29,45,168
2023-05-08,Kolkata Knight Riders,Mumbai Indians,Sawai Mansingh Stadium,96,2,11.9,42,26,51,180
2023-05-07,Royal Challengers Bangalore,Chennai Super Kings,Sawai Mansingh Stadium,152,1,17.5,50,67,41,177
2023-05-20,Sunrisers Hyderabad,Punjab Kings,Eden Gardens,88,5,15.3,31,32,33,128
2023-05-30,Lucknow Super Giants,Rajasthan Royals,Dr. DY Patil Sports Academy,40,2,5.5,19,13,31,137
2023-04-22,Punjab Kings,Royal Challengers Bangalore,M. A. Chidambaram Stadium,100,5,16.9,31,43,27,116
2023-05-16,Rajasthan Royals,Royal Challengers Bangalore,Rajiv Gandhi International Cricket Stadium,79,3,12.1,43,24,35,146
2023-05-21,Mumbai Indians,Delhi Capitals,Wankhede Stadium,75,0,9.6,36,22,42,184
2023-05-09,Sunrisers Hyderabad,Mumbai Indians,Rajiv Gandhi International Cricket Stadium,141,2,18.7,50,50,48,157
2023-05-04,Delhi Capitals,Lucknow Super Giants,M. Chinnaswamy Stadium,73,0,8.4,24,34,35,180
2023-04-30,Kolkata Knight Riders,Chennai Super Kings,Wankhede Stadium,74,2,8.0,34,19,48,221
2023-04-24,Royal Challengers Bangalore,Punjab Kings,Rajiv Gandhi International Cricket Stadium,66,3,10.4,32,17,34,140
2023-05-12,Punjab Kings,Gujarat Titans,Rajiv Gandhi International Cricket Stadium,98,9,19.1,42,33,33,104
2023-04-15,Sunrisers Hyderabad,Delhi Capitals,M. A. Chidambaram Stadium,55,5,10.7,25,18,33,116
